SCHCD,TotalStudents,Total_boys,Percntage_girls,Total_Pass,Result_Percentage,Tot_Teachers,Hyg_infra,Urban,North,South,East,West ,Central
9670804902,46,17,0.630434783,15,0.326086957,23,0.086956522,0,0,0,1,0,0
9670805702,203,89,0.561576355,40,0.197044335,16,0.181818182,0,0,0,1,0,0
9670806704,241,127,0.473029046,67,0.278008299,25,0.173913043,0,0,0,1,0,0
9670810203,63,37,0.412698413,59,0.936507937,15,0.206896552,0,0,0,1,0,0
9670814001,775,775,0,43,0.055483871,2,0.166666667,0,0,0,1,0,0
9670814201,106,47,0.556603774,90,0.849056604,8,0.153846154,0,0,0,1,0,0
9670814702,144,82,0.430555556,51,0.354166667,2,0.24,0,0,0,1,0,0
9670817201,266,138,0.481203008,79,0.296992481,2,0.2,0,0,0,1,0,0
9670901703,206,101,0.509708738,49,0.237864078,6,0.322580645,1,0,0,1,0,0
9670903301,147,80,0.455782313,52,0.353741497,6,0.166666667,1,0,0,1,0,0
9670903805,379,133,0.649076517,127,0.335092348,12,0.148148148,1,0,0,1,0,0
9670903809,244,133,0.454918033,126,0.516393443,19,0.434782609,1,0,0,1,0,0
9670905113,22,10,0.545454545,12,0.545454545,5,0.181818182,1,0,0,1,0,0
9670905121,182,105,0.423076923,157,0.862637363,6,0.137931034,1,0,0,1,0,0
9670906304,137,65,0.525547445,32,0.233576642,10,0.166666667,1,0,0,1,0,0
9670906311,13,5,0.615384615,8,0.615384615,6,0.25,1,0,0,1,0,0
9670906318,66,31,0.53030303,37,0.560606061,21,0.25,1,0,0,1,0,0
9670906320,143,74,0.482517483,46,0.321678322,31,0.227272727,1,0,0,1,0,0
9670906326,123,63,0.487804878,40,0.325203252,12,0.1875,1,0,0,1,0,0
9670906348,98,50,0.489795918,32,0.326530612,6,0.153846154,1,0,0,1,0,0
9670907102,210,118,0.438095238,90,0.428571429,6,0.115384615,1,0,0,1,0,0
9670907203,82,46,0.43902439,20,0.243902439,4,0.1,1,0,0,1,0,0
9670908201,251,116,0.537848606,0,0,5,0.19047619,1,0,0,1,0,0
9670908301,156,89,0.429487179,50,0.320512821,4,0.153846154,1,0,0,1,0,0
9670909607,760,428,0.436842105,517,0.680263158,13,0.227272727,1,0,0,1,0,0
9670909616,150,64,0.573333333,0,0,9,0.083333333,1,0,0,1,0,0
9670909619,209,109,0.4784689,53,0.253588517,9,0.324324324,1,0,0,1,0,0
9670909626,87,65,0.252873563,11,0.126436782,32,0.205882353,1,0,0,1,0,0
9670909651,669,353,0.472346786,0,0,13,0.194444444,1,0,0,1,0,0
9670909661,123,51,0.585365854,57,0.463414634,6,0.142857143,1,0,0,1,0,0
9670909665,155,60,0.612903226,76,0.490322581,4,0.095238095,1,0,0,1,0,0
9670909676,123,83,0.325203252,68,0.552845528,4,0.071428571,1,0,0,1,0,0
9670911013,277,145,0.476534296,110,0.397111913,6,0.060606061,1,0,0,1,0,0
9670912201,83,42,0.493975904,46,0.554216867,3,0.260869565,1,0,0,1,0,0
